id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread,openingSpread,openingOverUnder,homeMoneyline,awayMoneyline
401309648,South Alabama,21,Coastal Carolina,27,teamrankings,55.5,14.5,Coastal Carolina -14.5,,,,
401282145,Arkansas,34,Missouri,17,Bovada,63.5,-14.5,Arkansas -14.5,-14.5,62.5,-655,445
401282145,Arkansas,34,Missouri,17,William Hill (New Jersey),63,-14.5,Arkansas -14.5,,,,
401282145,Arkansas,34,Missouri,17,consensus,63.5,-14.5,Arkansas -14.5,,,,
401282145,Arkansas,34,Missouri,17,teamrankings,63,-14.5,Arkansas -14.5,,,,
401309596,Bowling Green,21,Ohio,10,Bovada,48.5,6.5,Ohio -6.5,5.5,48.5,200,-240
401309596,Bowling Green,21,Ohio,10,William Hill (New Jersey),48.5,6,Ohio -6,,,,
401309596,Bowling Green,21,Ohio,10,consensus,48.5,6.5,Ohio -6.5,,,,
401309596,Bowling Green,21,Ohio,10,teamrankings,48,6,Ohio -6,,,,
401309869,Washington State,31,Oregon State,24,Bovada,59.0,4.0,Oregon State -4.0,3.0,59.0,155,-180
401309869,Washington State,31,Oregon State,24,William Hill (New Jersey),59,4,Oregon State -4,,,,
401309869,Washington State,31,Oregon State,24,consensus,59,4,Oregon State -4,,,,
401309869,Washington State,31,Oregon State,24,teamrankings,59,4,Oregon State -4,,,,
401309874,Washington,17,UCLA,24,Bovada,55.0,-1.5,Washington -1.5,-1.0,55.0,-120,105
401309874,Washington,17,UCLA,24,William Hill (New Jersey),55.5,-1.5,Washington -1.5,,,,
401309874,Washington,17,UCLA,24,consensus,55.5,-1.5,Washington -1.5,,,,
401309874,Washington,17,UCLA,24,teamrankings,55.5,-1.5,Washington -1.5,,,,
401309873,Washington State,34,Stanford,31,Bovada,53.0,-1.0,Washington State -1.0,2.5,50.5,-115,-105
401309873,Washington State,34,Stanford,31,William Hill (New Jersey),53,-1,Washington State -1,,,,
401309873,Washington State,34,Stanford,31,consensus,53,-1,Washington State -1,,,,
401309873,Washington State,34,Stanford,31,teamrankings,53,-1,Washington State -1,,,,
401310714,Air Force,24,Wyoming,14,Bovada,46.0,-5.5,Air Force -5.5,-4.0,49.0,-210,175
401310714,Air Force,24,Wyoming,14,William Hill (New Jersey),46.5,-5.5,Air Force -5.5,,,,
401310714,Air Force,24,Wyoming,14,consensus,46.5,-5.5,Air Force -5.5,,,,
401310714,Air Force,24,Wyoming,14,teamrankings,46.5,-5.5,Air Force -5.5,,,,
401309619,Texas State,33,South Alabama,31,Bovada,52.0,4.0,South Alabama -4.0,1.0,53.0,155,-180
401309619,Texas State,33,South Alabama,31,William Hill (New Jersey),52.5,4,South Alabama -4,,,,
401309619,Texas State,33,South Alabama,31,consensus,52.5,4,South Alabama -4,,,,
401309619,Texas State,33,South Alabama,31,teamrankings,52.5,4,South Alabama -4,,,,
401286304,UMass,10,Maine,35,William Hill (New Jersey),58.5,5,Maine -5,,,,
